,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,label
Everything Has Changed,0.35,0.629,243933,0.465,3.16e-06,6,0.33399999999999996,-6.656000000000001,0.0289,80.042,4,0.41600000000000004,1
Everything Is AWESOME!!!,0.011000000000000001,0.698,163423,0.96,1.41e-06,8,0.435,-3.595,0.142,147.999,4,0.738,1
F**kin Problems,0.00992,0.5870000000000001,261642,0.562,0.0,10,0.135,-8.771,0.451,90.994,4,0.452,1
Fake Love,0.10800000000000001,0.927,210937,0.488,0.0,9,0.196,-9.433,0.42,133.987,4,0.605,1
False Alarm,0.0288,0.513,220307,0.674,3.79e-05,8,0.188,-6.483,0.0776,174.019,4,0.192,1
Feds Watching,0.0402,0.789,250520,0.8690000000000001,0.0,7,0.295,-6.593999999999999,0.102,139.986,4,0.752,1
Feel Again,0.0189,0.47200000000000003,185080,0.8240000000000001,2.3e-06,7,0.107,-7.937,0.0554,140.02700000000002,4,0.301,1
Feeling Myself,0.45299999999999996,0.682,237840,0.7070000000000001,0.00733,2,0.419,-5.611000000000001,0.207,139.16299999999998,4,0.439,1
Feels,0.0642,0.893,223413,0.745,0.0,11,0.0943,-3.105,0.0571,101.01799999999999,4,0.872,1
Fight Song,0.0549,0.564,204013,0.7140000000000001,0.0,7,0.155,-4.987,0.129,175.924,4,0.33,1
Find Your Love,0.0246,0.623,208947,0.598,0.0,6,0.0324,-5.914,0.16699999999999998,96.081,4,0.8220000000000001,1
Fine China,0.0475,0.654,213280,0.7390000000000001,0.0,10,0.11800000000000001,-4.762,0.0596,104.022,4,0.602,1
Finesse,0.0185,0.7040000000000001,217289,0.8590000000000001,0.0,5,0.0215,-4.877,0.0996,105.115,4,0.9259999999999999,1
Firework,0.139,0.638,227880,0.826,0.0,8,0.0803,-4.968,0.0479,124.072,4,0.649,1
Fix You,0.163,0.209,295533,0.418,0.00195,3,0.113,-8.74,0.0338,138.265,4,0.12300000000000001,1
Flashlight,0.299,0.51,178320,0.602,0.0,3,0.126,-6.317,0.0616,148.077,4,0.308,1
For Free,0.0173,0.9159999999999999,183695,0.5710000000000001,1.11e-06,10,0.153,-8.241,0.2,103.521,4,0.498,1
FourFiveSeconds,0.878,0.5760000000000001,188238,0.267,0.0,2,0.11900000000000001,-5.667999999999999,0.044000000000000004,205.888,4,0.326,1
Freaky Friday,0.147,0.755,216632,0.599,0.0,8,0.109,-5.042,0.22399999999999998,133.123,4,0.755,1
Friends,0.205,0.626,202621,0.88,0.0,9,0.128,-2.384,0.0504,95.079,4,0.534,1
Fun,0.0178,0.672,277040,0.738,6.75e-05,0,0.0927,-7.045,0.0506,107.93799999999999,4,0.392,1
Gangnam Style,0.0055,0.736,219493,0.9390000000000001,0.0,11,0.0905,-2.812,0.284,132.07,4,0.7609999999999999,1
Gangsta,0.111,0.439,177029,0.447,0.0,10,0.303,-8.318,0.0436,121.48,4,0.11,1
Gas Pedal,0.0272,0.846,208160,0.5379999999999999,0.0,1,0.12300000000000001,-8.059,0.0576,97.536,4,0.441,1
Gentleman,0.7170000000000001,0.35600000000000004,284092,0.322,0.0,4,0.102,-11.062999999999999,0.0959,96.008,4,0.292,1
Get Lucky,0.0426,0.794,248413,0.8109999999999999,1.07e-06,6,0.10099999999999999,-8.966000000000001,0.038,116.04700000000001,4,0.862,1
Ghost Town,0.000131,0.885,346840,0.47700000000000004,0.000664,6,0.336,-9.196,0.0664,130.078,4,0.691,1
Ghostface Killers,0.331,0.782,268933,0.436,1.3000000000000001e-05,2,0.342,-7.0329999999999995,0.155,82.994,4,0.243,1
