,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,valence,label
Bad For You,0.37799999999999995,0.68,203573,0.5710000000000001,0.0,8,0.10300000000000001,-7.053999999999999,0.222,145.02100000000002,4,0.0911,0
Bad Liar,0.177,0.95,214648,0.41200000000000003,0.0,1,0.077,-6.5920000000000005,0.0731,121.01899999999999,4,0.73,0
Bad Romance,0.00305,0.6970000000000001,294573,0.9209999999999999,3.65e-05,0,0.0831,-3.75,0.0391,118.99,4,0.721,0
Bad Things,0.192,0.677,239293,0.6940000000000001,0.0,2,0.17800000000000002,-4.752,0.128,137.847,4,0.287,0
Bag Of Money,0.107,0.9470000000000001,229005,0.7879999999999999,0.000691,10,0.10800000000000001,-6.138,0.124,129.977,4,0.45399999999999996,0
Bailando,0.165,0.855,226800,0.664,3.97e-05,9,0.0937,-7.11,0.0607,98.015,4,0.626,0
Bang My Head,0.0525,0.599,193333,0.8690000000000001,0.00719,0,0.10300000000000001,-3.697,0.0789,108.061,4,0.593,0
Bangarang,0.0145,0.716,215253,0.972,3.2200000000000003e-05,7,0.317,-2.302,0.196,110.02600000000001,4,0.5760000000000001,0
Barbie Tingz,0.0849,0.917,191700,0.6890000000000001,0.0,6,0.603,-6.225,0.264,102.414,4,0.44299999999999995,0
Barefoot Blue Jean Night,0.20800000000000002,0.6,167427,0.8079999999999999,0.0,4,0.196,-4.678999999999999,0.0403,172.016,4,0.809,0
Bartender,0.0611,0.675,238800,0.39399999999999996,0.0,8,0.214,-8.539,0.133,104.98700000000001,4,0.405,0
Bass Down Low,0.0886,0.797,210600,0.624,0.0,0,0.0499,-8.022,0.0628,113.035,4,0.8340000000000001,0
Be Real,0.122,0.762,206760,0.611,0.000315,9,0.141,-5.462000000000001,0.0876,99.934,4,0.386,0
Beachin',0.344,0.527,191040,0.902,4.6299999999999994e-05,6,0.0669,-5.352,0.0601,181.96400000000003,4,0.7090000000000001,0
"Beamer, Benz, Or Bentley",0.00402,0.652,208387,0.6709999999999999,2.8899999999999998e-05,4,0.598,-5.376,0.315,159.963,4,0.518,0
Beat It,0.0491,0.779,258040,0.867,7.98e-06,3,0.19699999999999998,-3.7039999999999997,0.0457,138.858,4,0.915,0
Beat Of The Music,0.00898,0.629,179293,0.8079999999999999,9.06e-06,9,0.0751,-4.125,0.0269,110.001,4,0.773,0
Beat This Summer,0.313,0.563,281453,0.722,0.0,6,0.39299999999999996,-5.252000000000001,0.0407,150.039,4,0.8009999999999999,0
Beating Heart,0.00023199999999999997,0.42,192787,0.968,0.0,9,0.0796,-2.353,0.12300000000000001,171.00400000000002,4,0.392,0
Beautiful,0.214,0.6659999999999999,178242,0.677,0.0,2,0.0979,-5.742999999999999,0.0326,100.014,4,0.17800000000000002,0
Beautiful Drug,0.0424,0.61,191600,0.857,2e-06,8,0.128,-5.267,0.0877,125.838,4,0.373,0
Beautiful Now,0.0066099999999999996,0.631,218293,0.8290000000000001,4.29e-05,11,0.0784,-4.093999999999999,0.0279,127.985,4,0.5329999999999999,0
Beautiful Trauma,0.0868,0.41200000000000003,250053,0.619,2.55e-06,7,0.4,-6.39,0.0725,95.977,4,0.23399999999999999,0
Beer Money,0.0223,0.745,218147,0.805,1.06e-06,2,0.13,-5.5489999999999995,0.0307,126.065,4,0.765,0
Beers Ago,0.0278,0.5670000000000001,206640,0.838,1.27e-06,0,0.0912,-4.582,0.0286,144.05100000000002,4,0.8029999999999999,0
Beez In The Trap,0.0199,0.821,268493,0.789,0.00114,1,0.0943,-5.997999999999999,0.209,150.02700000000002,4,0.66,0
Beg For It,0.16399999999999998,0.479,224280,0.433,0.0,0,0.0732,-6.877999999999999,0.0455,58.396,4,0.324,0
Beggin' On Your Knees,0.008409999999999999,0.623,193547,0.8690000000000001,0.0,5,0.0771,-3.3760000000000003,0.0481,130.013,4,0.6629999999999999,0
Bellas Finals: Price Tag / Don't You (Forget About Me)...,0.579,0.47600000000000003,216413,0.682,0.0,0,0.129,-5.74,0.153,105.956,4,0.308,0
Beneath Your Beautiful,0.228,0.5579999999999999,271813,0.522,0.0,2,0.10400000000000001,-5.857,0.036000000000000004,83.977,4,0.228,0
Best Day Of My Life,0.0629,0.6729999999999999,194240,0.902,0.000174,2,0.0552,-2.378,0.0347,100.016,4,0.521,0
Best Friend's Brother,0.000398,0.613,218267,0.917,9.69e-06,8,0.159,-4.754,0.0637,140.001,4,0.77,0
Best I Ever Had,0.21899999999999997,0.42700000000000005,257760,0.861,0.0,1,0.27699999999999997,-4.874,0.376,161.776,4,0.581,0
Best Thing I Never Had,0.14300000000000002,0.545,253747,0.649,1.57e-05,6,0.0894,-4.062,0.0324,99.09899999999999,4,0.297,0
Betrayed,0.41600000000000004,0.823,187453,0.419,0.0,10,0.105,-10.357999999999999,0.165,119.958,4,0.27699999999999997,0
Better Than I Used To Be,0.0571,0.747,194627,0.645,0.000298,9,0.209,-7.864,0.12300000000000001,94.965,4,0.513,0
Beware,0.217,0.7390000000000001,235187,0.5529999999999999,0.0,1,0.452,-6.013,0.174,97.219,4,0.062,0
Billionaire,0.297,0.633,211160,0.6729999999999999,0.0,6,0.20600000000000002,-6.403,0.258,86.77600000000001,4,0.659,0
Bills,0.139,0.845,256027,0.5760000000000001,0.0,11,0.0764,-5.15,0.153,127.641,4,0.461,0
"Bills, Bills, Bills",0.139,0.845,256027,0.5760000000000001,0.0,11,0.0764,-5.15,0.153,127.641,4,0.461,0
Birthday,0.261,0.675,226507,0.545,0.0,7,0.162,-5.614,0.0443,60.048,4,0.445,0
Birthday Song,0.0581,0.748,306600,0.586,0.0,1,0.156,-2.5540000000000003,0.0512,140.067,4,0.161,0
Bittersweet,0.0348,0.35600000000000004,357267,0.915,0.0,9,0.488,-5.93,0.0458,171.166,4,0.555,0
Black,0.0538,0.7090000000000001,232187,0.635,0.000139,5,0.098,-4.865,0.0461,96.825,4,0.536,0
Black Beatles,0.13,0.794,291893,0.6459999999999999,0.0,0,0.14,-6.235,0.0614,145.931,4,0.322,0
Black Magic,0.0348,0.777,211773,0.895,0.0,4,0.317,-4.4639999999999995,0.0618,111.98700000000001,4,0.826,0
Black Widow,0.18100000000000002,0.741,209423,0.726,0.00018899999999999999,3,0.111,-3.77,0.14300000000000002,163.99099999999999,4,0.527,0
Blackout,0.0108,0.7340000000000001,136093,0.6729999999999999,0.0,4,0.40399999999999997,-7.223,0.381,99.97,4,0.415,0
Blase,0.0219,0.897,285240,0.642,1.31e-06,2,0.159,-8.828,0.0534,127.984,4,0.29100000000000004,0
Bleed Red,0.34600000000000003,0.48700000000000004,229840,0.6679999999999999,4.5600000000000004e-05,10,0.107,-4.251,0.0321,90.083,4,0.184,0
Blessings,0.723,0.7140000000000001,221940,0.34299999999999997,5.48e-06,10,0.102,-7.641,0.38,72.348,4,0.37200000000000005,0
Blood On The Leaves,0.385,0.415,359800,0.6809999999999999,0.0,2,0.10099999999999999,-4.104,0.18899999999999997,171.893,4,0.364,0
Blurred Lines,0.00373,0.862,263827,0.608,6.14e-06,7,0.0856,-4.762,0.0402,120.00200000000001,4,0.836,0
Bobby Bitch,0.0136,0.9209999999999999,160383,0.525,0.0,11,0.313,-8.186,0.413,130.747,4,0.794,0
Bodak Yellow (Money Moves),0.00863,0.768,289625,0.903,0.0025,9,0.076,-2.741,0.0674,126.027,4,0.779,0
Body,0.46299999999999997,0.731,165387,0.469,1.04e-06,5,0.10300000000000001,-7.226,0.0326,98.963,4,0.631,0
Body 2 Body,0.0119,0.537,178634,0.7490000000000001,0.0,8,0.154,-4.725,0.109,100.088,4,0.299,0
Bohemian Rhapsody,0.254,0.397,354320,0.396,0.0,3,0.268,-9.91,0.05,142.91299999999998,4,0.22699999999999998,0
Bon Appetit,0.11699999999999999,0.8029999999999999,227822,0.7909999999999999,8.379999999999999e-05,6,0.242,-5.7589999999999995,0.0633,106.044,4,0.564,0
Boo'd Up,0.095,0.48100000000000004,256064,0.79,0.0,10,0.0802,-5.189,0.0606,81.939,4,0.24,0
Booty,0.000831,0.938,160038,0.5489999999999999,0.00024300000000000002,1,0.08199999999999999,-8.368,0.098,144.005,4,0.41200000000000003,0
Bounce It,0.00811,0.785,260560,0.5720000000000001,0.0,11,0.111,-9.383,0.0859,140.032,4,0.47700000000000004,0
Bow Chicka Wow Wow,0.318,0.626,223253,0.67,0.0,7,0.0429,-5.381,0.0534,73.422,4,0.523,0
Boyfriend,0.0269,0.711,171333,0.5539999999999999,0.0077599999999999995,1,0.10099999999999999,-6.099,0.0502,96.97200000000001,4,0.348,0
Brand New,0.0033799999999999998,0.5529999999999999,243933,0.9359999999999999,1.35e-06,9,0.102,-5.015,0.11,144.884,4,0.41200000000000003,0
Break,0.456,0.51,199436,0.386,0.0,1,0.252,-8.391,0.0307,86.36,4,0.266,0
Break On Me.,0.38,0.62,209253,0.764,0.000154,8,0.11199999999999999,-6.757000000000001,0.0314,86.99600000000001,4,0.461,0
Break Up In A Small Town,0.0713,0.573,229880,0.789,0.0,8,0.22899999999999998,-5.349,0.23199999999999998,136.08,4,0.423,0
Break Up With Him,0.0685,0.615,207733,0.632,0.0,3,0.10800000000000001,-5.382000000000001,0.0374,152.035,4,0.56,0
Breakeven,0.17300000000000001,0.63,261427,0.698,0.0,10,0.0789,-4.51,0.0244,94.023,4,0.529,0
Bridge Over Troubled Water,0.8220000000000001,0.149,293120,0.20600000000000002,0.0006490000000000001,3,0.115,-13.888,0.0323,79.764,4,0.264,0
Bright,0.637,0.6459999999999999,220627,0.431,6.99e-06,6,0.113,-8.517000000000001,0.0262,90.03399999999999,4,0.292,0
Brighter Than The Sun,0.00808,0.629,231213,0.7979999999999999,1.85e-06,9,0.27699999999999997,-5.937,0.0347,95.976,4,0.599,0
Bring It Back,0.154,0.8809999999999999,255089,0.257,0.0,6,0.10800000000000001,-7.796,0.49,151.97799999999998,4,0.215,0
Broccoli,0.23600000000000002,0.8859999999999999,225205,0.525,0.0,8,0.057,-7.39,0.132,145.99,4,0.708,0
Broken Halos,0.133,0.607,180907,0.575,2.52e-06,8,0.0566,-7.066,0.0252,78.34100000000001,4,0.504,0
Brokenhearted,0.00765,0.765,227147,0.765,3.82e-06,1,0.0527,-2.7319999999999998,0.0585,120.001,4,0.8859999999999999,0
Bubble Butt,0.0115,0.765,227813,0.7709999999999999,0.00237,7,0.606,-6.99,0.34700000000000003,194.072,4,0.39399999999999996,0
